folder,file,path,lon,lat,alt,dt
109MEDIA,DJI_0133.JPG,D:\drone\DCIM\109MEDIA\DJI_0133.JPG,-49.34651791666667,-27.395102333333334,564.759,2026:03:01 15:43:06
109MEDIA,DJI_0134.JPG,D:\drone\DCIM\109MEDIA\DJI_0134.JPG,-49.34651863888889,-27.395102305555554,564.659,2026:03:01 15:43:08
109MEDIA,DJI_0135.JPG,D:\drone\DCIM\109MEDIA\DJI_0135.JPG,-49.346518055555556,-27.395103083333332,564.659,2026:03:01 15:43:10
109MEDIA,DJI_0136.JPG,D:\drone\DCIM\109MEDIA\DJI_0136.JPG,-49.34651847222222,-27.395103694444444,564.659,2026:03:01 15:43:12
109MEDIA,DJI_0137.JPG,D:\drone\DCIM\109MEDIA\DJI_0137.JPG,-49.34651875,-27.395103972222223,564.659,2026:03:01 15:43:14
109MEDIA,DJI_0138.JPG,D:\drone\DCIM\109MEDIA\DJI_0138.JPG,-49.34651863888889,-27.395103388888888,564.659,2026:03:01 15:43:16
109MEDIA,DJI_0139.JPG,D:\drone\DCIM\109MEDIA\DJI_0139.JPG,-49.34651880555556,-27.395103666666667,564.659,2026:03:01 15:43:18
109MEDIA,DJI_0140.JPG,D:\drone\DCIM\109MEDIA\DJI_0140.JPG,-49.346518,-27.395103638888887,564.659,2026:03:01 15:43:20
109MEDIA,DJI_0141.JPG,D:\drone\DCIM\109MEDIA\DJI_0141.JPG,-49.346518055555556,-27.395104,564.659,2026:03:01 15:43:22
109MEDIA,DJI_0142.JPG,D:\drone\DCIM\109MEDIA\DJI_0142.JPG,-49.346517250000005,-27.395104027777776,564.659,2026:03:01 15:43:24
109MEDIA,DJI_0143.JPG,D:\drone\DCIM\109MEDIA\DJI_0143.JPG,-49.34650977777778,-27.39507275,564.659,2026:03:01 15:43:26
109MEDIA,DJI_0144.JPG,D:\drone\DCIM\109MEDIA\DJI_0144.JPG,-49.34650497222223,-27.395048111111112,564.659,2026:03:01 15:43:28
109MEDIA,DJI_0145.JPG,D:\drone\DCIM\109MEDIA\DJI_0145.JPG,-49.34650563888889,-27.395048555555555,564.659,2026:03:01 15:43:30
109MEDIA,DJI_0146.JPG,D:\drone\DCIM\109MEDIA\DJI_0146.JPG,-49.346505138888894,-27.395048055555556,564.659,2026:03:01 15:43:32
109MEDIA,DJI_0147.JPG,D:\drone\DCIM\109MEDIA\DJI_0147.JPG,-49.346505694444446,-27.395048,564.659,2026:03:01 15:43:34
109MEDIA,DJI_0148.JPG,D:\drone\DCIM\109MEDIA\DJI_0148.JPG,-49.34650669444445,-27.3950475,564.659,2026:03:01 15:43:36
109MEDIA,DJI_0149.JPG,D:\drone\DCIM\109MEDIA\DJI_0149.JPG,-49.346507361111115,-27.395047305555554,564.659,2026:03:01 15:43:38
109MEDIA,DJI_0150.JPG,D:\drone\DCIM\109MEDIA\DJI_0150.JPG,-49.34650741666667,-27.39504711111111,564.659,2026:03:01 15:43:40
109MEDIA,DJI_0151.JPG,D:\drone\DCIM\109MEDIA\DJI_0151.JPG,-49.34651088888889,-27.395048027777776,564.659,2026:03:01 15:43:42
109MEDIA,DJI_0152.JPG,D:\drone\DCIM\109MEDIA\DJI_0152.JPG,-49.34655455555556,-27.39506888888889,564.659,2026:03:01 15:43:44
109MEDIA,DJI_0153.JPG,D:\drone\DCIM\109MEDIA\DJI_0153.JPG,-49.346559750000004,-27.395067777777776,564.659,2026:03:01 15:43:46
109MEDIA,DJI_0154.JPG,D:\drone\DCIM\109MEDIA\DJI_0154.JPG,-49.34656047222222,-27.395067,564.659,2026:03:01 15:43:48
109MEDIA,DJI_0155.JPG,D:\drone\DCIM\109MEDIA\DJI_0155.JPG,-49.346571000000004,-27.395064583333333,564.659,2026:03:01 15:43:50
109MEDIA,DJI_0156.JPG,D:\drone\DCIM\109MEDIA\DJI_0156.JPG,-49.34664216666667,-27.395058416666668,564.659,2026:03:01 15:43:52
109MEDIA,DJI_0157.JPG,D:\drone\DCIM\109MEDIA\DJI_0157.JPG,-49.34671711111111,-27.395049888888888,564.659,2026:03:01 15:43:54
109MEDIA,DJI_0158.JPG,D:\drone\DCIM\109MEDIA\DJI_0158.JPG,-49.346796527777784,-27.395042333333333,564.659,2026:03:01 15:43:56
109MEDIA,DJI_0159.JPG,D:\drone\DCIM\109MEDIA\DJI_0159.JPG,-49.346837416666666,-27.3950385,564.659,2026:03:01 15:43:58
109MEDIA,DJI_0160.JPG,D:\drone\DCIM\109MEDIA\DJI_0160.JPG,-49.34688522222223,-27.395033666666667,564.659,2026:03:01 15:44:00
109MEDIA,DJI_0161.JPG,D:\drone\DCIM\109MEDIA\DJI_0161.JPG,-49.34697277777778,-27.395023666666667,564.659,2026:03:01 15:44:02
109MEDIA,DJI_0162.JPG,D:\drone\DCIM\109MEDIA\DJI_0162.JPG,-49.347072000000004,-27.39501261111111,564.659,2026:03:01 15:44:04
109MEDIA,DJI_0163.JPG,D:\drone\DCIM\109MEDIA\DJI_0163.JPG,-49.347173805555556,-27.39499461111111,564.659,2026:03:01 15:44:06
109MEDIA,DJI_0164.JPG,D:\drone\DCIM\109MEDIA\DJI_0164.JPG,-49.34728836111111,-27.394967416666667,564.659,2026:03:01 15:44:08
109MEDIA,DJI_0165.JPG,D:\drone\DCIM\109MEDIA\DJI_0165.JPG,-49.347449222222224,-27.394929083333334,564.659,2026:03:01 15:44:10
109MEDIA,DJI_0166.JPG,D:\drone\DCIM\109MEDIA\DJI_0166.JPG,-49.3476365,-27.394885777777777,564.659,2026:03:01 15:44:12
109MEDIA,DJI_0167.JPG,D:\drone\DCIM\109MEDIA\DJI_0167.JPG,-49.34783022222222,-27.394858638888888,564.659,2026:03:01 15:44:14
109MEDIA,DJI_0168.JPG,D:\drone\DCIM\109MEDIA\DJI_0168.JPG,-49.34802752777778,-27.39487388888889,564.559,2026:03:01 15:44:16
109MEDIA,DJI_0169.JPG,D:\drone\DCIM\109MEDIA\DJI_0169.JPG,-49.34823044444445,-27.394890222222223,564.559,2026:03:01 15:44:18
109MEDIA,DJI_0170.JPG,D:\drone\DCIM\109MEDIA\DJI_0170.JPG,-49.3484345,-27.394905194444444,564.559,2026:03:01 15:44:20
